"tweet_text","humanitarian_label"
"RT @CNBCPAKISTAN: Just in: 4 including 3 women killed in #Rawalpindi, Gulistan Colony #Pakistan","injured_or_dead_people"
"Facebook and Google aid Nepal survivor search with people finder tools: Facebook and Google are channelling th... http://t.co/KvPWQKDVBI","displaced_people_and_evacuations"
"Pre- germinated seeds of photo insensitive seeds and short duration varieties like TURANTA, PRAVAT, and SAKET 4 etc. could be sown by last week of August.","rescue_volunteering_or_donation_effort"
"Chile's President Michelle Bachelet among evacuees as second earthquake hits video http://t.co/gu5IeBlKIJ http://t.co/qeZtS1pnfv #chile","other_relevant_information"
"The Kardashians are donating $500,000 to the Red Cross and Salvation Army for Hurricane Harvey relief efforts:","rescue_volunteering_or_donation_effort"
"RT @rainwindy: I hope everyone is ok. ὤFἿB","other_relevant_information"
"(2/2) #HurricaneDorian — More evacuations were ordered for Floridas East Coast. This link contains a current list of Florida evacuations:","displaced_people_and_evacuations"
"The Volunteer State is sending first responder teams to Florida to help in the response to Hurricane Doran","rescue_volunteering_or_donation_effort"
"Death Toll Rises in Texas Catastrophe, New Evacuations From The Weather Channel iPhone App","injured_or_dead_people"
"UNDP's Emergency Response and Transitional Recovery programme in Aceh and Nias embraces volunteerism as an integral part of recovery efforts.","rescue_volunteering_or_donation_effort"
"@thekillers #askthekillers Would you do a donation to the people in Mexico city who needs help because of the earthquake? Love you guys!!","rescue_volunteering_or_donation_effort"
"My heart goes out to the people of the south of #Haiti affected by hurricane #matthew","sympathy_and_support"
"Jacqui: ë█╧Itë█¬s just awful, before evac, a lot of people were still living in patchwork coastline houses made from debris of #Haiyan"" #Hagupit","not_related_or_irrelevant"
"RT @SierraChicago: Join us on 10/10 for a fundraiser benefiting Hurricane Harvey, Irma, and Maria recovery efforts. #SierraSolidarity","rescue_volunteering_or_donation_effort"
""" #RubyPH WILL BE AS STRONG AS MY FEELINGS FOR U. KINGINA MO YOU ARE ADVISED TO FEEL THE SAME WAY TOO."" SAME WAY TOO HA SAME WAY HAHAH","not_related_or_irrelevant"
"Cyclone Pam: disaster response teams travelling to Vanuatu as dozens feared dead: Aid agencies say the immedia... http://t.co/Vb8RhGQ1fT","injured_or_dead_people"
"Hey check this out http://t.co/b9rWERQucB","not_related_or_irrelevant"
"As I emerged from the thick underbrush that clings to the south Indian village of Oolakottai, the landscape opened up to the vastness of a beach and, beyond it, the Indian Ocean.","rescue_volunteering_or_donation_effort"
"@HRVY @HRVY woah Harvey Iâ€™m actually so proud of youâ¤ï¸â¤ï¸ itâ€™s trending in Puerto Rico ;)á¼Ÿ5á¼Ÿ7â¤ï¸ #HRVYPreOrder https://t.co/CaEwIyiPON","not_humanitarian"
"So 67 huts were damaged. But only 5 people are homeless ?? I don’t even have the energy to shout.ὡ2 ministry of information tweeting inaccurate information","infrastructure_and_utility_damage"
"RT @WalidahImarisha: #HurricaneMaria in #PuertoRico: cancel all debt, end Jones Act, allocate $ for relief. Most of all #FreePuertoRico! ht","rescue_volunteering_or_donation_effort"
"Powerful typhoon slams into eastern Philippines - USA TODAY http://t.co/yTLNxoSjL3 #Typhoon","other_relevant_information"
"Tamilnadu CM J #Jayalalithaa announces aid of Rs. 5 crore for Jammu &amp; Kashmir flood relief.","rescue_volunteering_or_donation_effort"
"RT @ndtv: Telangana government dispatches 100 tonnes of food to flood-hit Kerala","rescue_volunteering_or_donation_effort"
"RT @accuweather: Satellite captures multiple flashes of lightning from Hurricane Dorian","not_humanitarian"
"Hello, Delmas 7 has no help. Please, there is no help?","injured_or_dead_people"
"As a result of emergency situation 7,200 houses (4,870 houses in Krymsk), 7 socially important facilities were flooded and gas, power and water supply sistems were disrupted in the cities of Gelendzhik, Novorossiysk, Krymsk, and in the villages of Divnomorskoye, Nizhnebakanskaya, Neberdzhaevskaya, Kabardinka of Krasnodar Territory.","other_relevant_information"
"Incessant rain has caused three major tributaries of Dhansiri River to overflow, affecting 1500 families including 439 sponsored children in World Vision's target area alone.","not_humanitarian"
"RT @ali6hazali: uh oh, it's earthquake in Chile #PrayForChile","sympathy_and_support"
"RT @AlynneStark: The poor people are hungry, she said. Workers need direct help. #puertorico #HurricaneMaria","requests_or_needs"
"Done in #Zimbabwe἟F἟C- first load of @UNICEF water and sanitation items, funded by @ukinzimbabwe arrived in Ngangu Township yesterday, one of the hardest hit #CycloneIdai area in Chimanimani -handed over to @MSF. Ὂ6","rescue_volunteering_or_donation_effort"
"NewsNow: Paradise lost: Tortola seeks UK aid after Irma","requests_or_needs"
"Check out this Tee! 100% of proceeds going to local charity in #LosCabos to help rebuild after #HurricaneOdile #Odile http://t.co/cFTL0JzKt2","rescue_volunteering_or_donation_effort"
"RT @BBCWorld: Cyclone Pam slams into the South Pacific archipelago of Vanuatu leaving ""complete devastation"" http://t.co/KDQcIpOnAl http://…","infrastructure_and_utility_damage"
"Guys, pleaes join @deespeak raise funds for #NepalQuakeRelief. ç__F  https://t.co/uXD4nRnpgU","displaced_people_and_evacuations"
"1776 Coalition » Puerto Rico Faces Hurricane Maria After Irma’s $1 Billion Damage","infrastructure_and_utility_damage"
"The TSA staff that was sent to assist with #HurricaneFlorence relief efforts are now safely back in Minnesota. As a result, Checkpoint 10 and the checkpoint for the @InterConHotels are both open again! Thank you for your patience.","other_relevant_information"
"@EddieSheerr GEFS as usual looks under dispersed. EPS has two camps, one with track over St Johns, one much farther SE","not_humanitarian"
"The real lessons from Hagupit: December 9, 2014 -- Updated 0423 GMT (1223 HKT) Editor's note: Mong Palatino is... http://t.co/jBcK96kEuy","other_relevant_information"
"RT @MJohnsonCTV: .@stpierre_ch offers condolences to families of #ItalyEarthquake victims; says many Italians in #Quebec are worried about","sympathy_and_support"
"#earthquake Nepal: Nepal 7.9 Devastating Earthquake http://t.co/LX0rIl7yuY #crisismanagement","not_related_or_irrelevant"
"RT @TinoNyandoro: Hope he isnt coming back with thoughts, prayers and a biller code for donations.","sympathy_and_support"
"MoneyGram Waives Fees for Donations to American Red Cross for Wildfire Relief Efforts in Canada: Company also","rescue_volunteering_or_donation_effort"
"RT @OfficialMqm: Pic11: Prayers held for Pakka Qila #HyderabadMassacre at Lal Qila Ground 90 #Karachi #Pakistan","sympathy_and_support"
"Our thoughts and prayers go out to those affected by Hurricane Harvey. Please stay safe!","sympathy_and_support"
"Update and Q+A: MSF Surgical Team in Philippines For Typhoon Hagupit ~ @MSF_USA http://t.co/ld9KXcuIwD","not_related_or_irrelevant"
"RT @KamalFaridi: #Pakistan Survivors wait for food, aid after Pakistan quake - Houston Chronicle: The Express TribuneSurvivors ... http://t…","rescue_volunteering_or_donation_effort"
"I didnt realize how bad it was please do whatever you can to help. ἟5἟7","rescue_volunteering_or_donation_effort"
"A team of American experts is in Mexico to assist with search and rescue efforts followingâ€¦ https://t.co/kK7WKmV3OP https://t.co/u5CRHxJ2mW","rescue_volunteering_or_donation_effort"
"Omfg this shit is fucking sick man they had fields of waste by those slaughterhouses that got mixed with the flood water.","not_humanitarian"
"Heart to Heart is now in Big Pine Key (Lower Florida Keys) 1st medical ngo to setup. Help now:  #HurricaneIrma","rescue_volunteering_or_donation_effort"
"RT @TUSK81: Christian, a medical student: It’s very characteristic of the Mexican people: We stand together.","sympathy_and_support"
"i love how Lauren stands up for her beliefs, friends, family and everything she thinks itΣ≤╗s right","not_related_or_irrelevant"
"To learn more about how you can help or ways to volunteer, please visit , @RedCross or call 1-800-REDCROSS.","rescue_volunteering_or_donation_effort"
"Mudslide Causes Damage To Mining Company in Liberia  #CapeVerde #Liberia","infrastructure_and_utility_damage"
"Mcdo.","not_related_or_irrelevant"
"Winds ease, rain possible, offering hope in California wildfires: https://t.co/sT0f1pC6SI https://t.co/pfiSz6wKRg","unknown_or_unclassified"
"Joel Osteens Church face criticism for not serving as #Harvey shelter","not_humanitarian"
"According to latest government estimates, the fires have destroyed 280,000 hectares (700,000 acres) of forest in East Kalimantan, damaged the habitat of endangered animals and sent a toxic smog over most of the province.","rescue_volunteering_or_donation_effort"
"RT @CutePetsCHA: Hey! I am Irma. I am an altered female american shorthair. https://t.co/GqKmc84IBz https://t.co/GtPKcEzGOz","not_humanitarian"
"Former NFL coach and current FOX commentator Jimmy Johnson suffered home damage due to Hurricane Irma.","infrastructure_and_utility_damage"
"Much of fall due to floods. However fall larger than expectations. See MOSL pre-result expectations  From a broader structural perspective, our exports keep on declining. Kuch to problem hai. My sense its ëasierto sell domestically than internationally.","other_relevant_information"
"News. Ξ Rapper and Activist | Pitbull | Donated The Use of Private Plane to Cancer Patients in Puerto Rico! ↓↴ Ξ","rescue_volunteering_or_donation_effort"
"really great... https://t.co/WatcymOgP7","not_related_or_irrelevant"
"RT @TheLaSallian: JUST IN: Classes in all levels in the City of Manila are suspended tomorrow, December 9. #RubyPH | via @manila_bulletin","other_relevant_information"
"Just a reminder of the damage that #hurricaneMatthew caused in 2016 and Dorian is taking a similar track but may be more intense. Please don’t let your guard down. #hurricanedorian","infrastructure_and_utility_damage"
"RT @GirlGuidingNZ: Purchase virtual biscuits  &amp; we will in turn donate #guidebiscuits to those in need #eqnz http","rescue_volunteering_or_donation_effort"
"Where I can go to make a passport,what document I'll need to do that I don't have 18 years old","not_humanitarian"
"http://t.co/1K7QHQrub1 Help them by donating","displaced_people_and_evacuations"
"@ffweekend @GeraldoRivera Lets see if Geraldo Rivera will report the truth. Puerto Rico Teamsters stopping aid supplies leaving dock .","not_humanitarian"
"#Update - Local residents used construction materials to make temporary levee repairs - last report was they were holding #TexasStrong","other_relevant_information"
"I would like to have a number to call EDH","other_relevant_information"
"Thanks to @TheView for their coverage on the #PuertoRico emergency crisis after #HurricaneMaria!","other_relevant_information"
"People are eating leaves and grass, selling personal items, removing their children from school and migrating to neighboring cities and countries to find work or food.","infrastructure_and_utility_damage"
"My prayer for you all is that the Lord fills your cup, making it overflow, that you may drink of the Living Water and never be thirsty 🙌🏽🙏🏽🎶","sympathy_and_support"
"Prayers go out to #NepalEarthquake","not_related_or_irrelevant"
"Thx world for all your thoughts ❤ #PrayingForItaly #earthquake #terremoto #ItalyEarthquake","sympathy_and_support"
"300 people died in U.p india due to flood. many are missing. pray for U.p &amp; SHARE it!","injured_or_dead_people"
"For any evacuees coming to #ATX you CAN bring your pets!! #HurricaneHarvey #everylifematters","displaced_people_and_evacuations"
"More than a quarter million customers without power in Texas and Louisiana. Do not run a generator indoors. Carbon monoxide kills. #Harvey","other_relevant_information"
"By January 6, WFP expects to have 5,000 tons of essential food dispatched to 750,000 people (covering 15 day requirment).","not_humanitarian"
"RT @GlennKesslerWP: .@realDonaldTrump ’s #Katrina? Influx of #PuertoRicans after #Maria could tip #Florida to Dems via @jameshohmann http","not_humanitarian"
"Irma evacuees make overnight exodus from Augusta, those who could","displaced_people_and_evacuations"
"NPR News: More Deaths Are Reported In California Fires","injured_or_dead_people"
"California wildfires: Blazes rip through wine valleys â€“ BBCÂ News https://t.co/BZd2HazF76 https://t.co/ZI12bWZO1C","unknown_or_unclassified"
"so heartbreaking , the people in tacloban was hit by Haiyan last year &amp; now , devastated again by a new typhoon #PrayForThePhilippines","not_related_or_irrelevant"
"RT @HDLindiaOrg: Nepal slaughtered 2000 cows on 28-29 november 2014, human casualties in nepal approx 10000 !! 1 cow's life = 5 human being…","injured_or_dead_people"
"Iraq, Earthquake on 12-11-2017, The damage that hit the castle of Shirwana archaeological in Kalar - Sulaymaniyah. https://t.co/zMMR1SmnXl","infrastructure_and_utility_damage"
"MADRAS, India, June 14 (Reuter) - A tropical cyclone heading through the Bay of Bengal with wind speeds of up to 100 kph (60 mph) is expected to lash India's southeastern coast on Friday, meteorological officials said.","other_relevant_information"
"἗F️἗0〽️- you know that spell Pam right ? And Idk you","not_related_or_irrelevant"
"* correction* Strong waves from TS Maria crash the jetty at 2nd Avenue in North Wildwood #acpress #storm https://t.co/eFmm8h2th0","unknown_or_unclassified"
"Let’s pray for all of the victims! As Hurricane Dorian storms towards the US, remember even the fossil-fuel industry doesn’t like trump’s methane rollback. The EPA’s policy would not only would this be bad for the environment, but it also harms the fossil-fuel industry.","sympathy_and_support"
"Another stunning image as rescues continue in Houston Latest flooding now in Port Arthur/Beaumont - over 10 of rain &amp; counting. #LiveOnK2","rescue_volunteering_or_donation_effort"
"Hi @Samynemir if you know of hospitals or anyone else who needs immediate help contact @UPDMaria #mariasos #puertorico #hurricanemaria","rescue_volunteering_or_donation_effort"
"106th Rescue Wing returns from Harvey, Irma missions https://t.co/thVpWOJXlm https://t.co/XLu8lumLdP","unknown_or_unclassified"
"Teachers, students, communities need help since cyclone Idai swept thru southern Africa. We urge members to help Education International + its affiliates in Zimbabwe+Mozambique! Send letters of support to: ZIMTA: info@zimta.co.zw PTUZ: admin@ptuz.org ONP: onp.snpm@gmail.com","rescue_volunteering_or_donation_effort"
".@MMDA lifts number coding on Dec. 8 due to #RubyPH http://t.co/slnn3YKfc7 | @AHeginaINQ @BLozadaINQ","not_related_or_irrelevant"
"The film raises the issue of how concern can be translated into action to save Indonesia's remaining tropical forests.","not_humanitarian"
"@davis1988will #HurrcaneIrma We need damage #Reports from People so we can share with everyone  #hurricaneirma2017","infrastructure_and_utility_damage"
"RT @AnointedNachos: Pray for the families effected by the Canada wildfire! 1,600: Homes destroyed 88,000: People evacuated #PrayForFortMcMu","sympathy_and_support"
"Two images. One taken on February 6, 2018, before the floods and the other taken on August 22, 2018 after the floods. According to Nasa’s website:  the European Space Agency’s Sentinel-2 satellite acquired the images. #KeralaFloods #keralarains #geography #changes","other_relevant_information"
"Hurricane Irma aftermath, in Florida Keys, 9 people dead. First responders still going door-to-door. Communications… https://t.co/j7wlvrgBFU","unknown_or_unclassified"
"UP, Assam facin grim situation by flood. Govt alloted crores for nepal floods. wats there in for India #modigovt #Modi  ??","other_relevant_information"
"you can't satisfy everyone but don't forget me i'm hopeless powerless.","not_humanitarian"
"This will consist of caloric biscuits and dates to be provided to the children on a daily basis in effort to compliment daily nutritional intake.","other_relevant_information"
"TTWeatherCenter on Twitter: More video of the catastrophic damage across the Abacos Islands, Bahamas due to #Dorian  / Twitter","infrastructure_and_utility_damage"
"Alberta Wildfire Update – May 8 2016: A pink car remains among the ruins of destroyed","infrastructure_and_utility_damage"
"""#Typhoon #Hagupit blasts #Philippines, lives spared"" What you can do? via @GoBGR: https://t.co/Ut0HKMLWWn","not_related_or_irrelevant"
"Yeah right I have seen how fast he is in 2002 riots. Bhaktards https://t.co/ujqKG79Xvt","not_related_or_irrelevant"
"KHALIL AHMAD ARIAN KOTLA MUGHLAN TAHSEL JAMPUR DISTREKT RAJANPUR HIM NA PAHLAY BHI AP KO SMS KEYA THA AUR REPORT BHI DEY THE IS LAYA HIM AP KO PHIR YAD DELANA CHAHTA HAN K HIM AP K TAVON K MONTZIR HAN MAJBOR HAN IS LAYA BAR BAR SMS KER RAHAY HAN MAHIRB","other_relevant_information"
"Old laptop batteries could power slums, IBM says http://t.co/PSRFyR2Bkk #ewaste #led #disastermanagement #hagupit","not_related_or_irrelevant"
"La Franc-Maconnirie Anglaise. Address. Email. Telephone. Thank You.","other_relevant_information"
"EID MUBARAK Everyone and to ur Families May ALLAH bless us all with good Health nd Wealth in Life Ahead.. Plz Pray for #Kerala Donate for #KeralaFloodRelief","sympathy_and_support"
"Silvia Mazzoni: Dont go on an earthquake reconnaissance trip and only take pictures of collapsed buildings. AMEN. #scecmeet","infrastructure_and_utility_damage"
"Were offering 25% off of our boarding and daycare services and waiving our Meet &amp; Greet fees for anyone evacuating from Hurricane Florence. Please give us a call at 704-323-8486 if you need a place for your pup during the storm.","rescue_volunteering_or_donation_effort"
"California Wildfires Taking Toll On Wildlife &amp; Pets","other_relevant_information"
"Prayers up to Haiti, Dominican Republic and all other regions affected by Hurricane Matthew.","sympathy_and_support"
"RT @davidmackau: People Are Still Stranded At Puerto Ricos Largest Airport With No AC And Little Food  via @nidhipr","requests_or_needs"
"#DSTRRescueNeeded We need your help: Soles4Souls Responds to","requests_or_needs"
"After the storm clears: Damage is done, cleanup begins #Irma #Storm11","infrastructure_and_utility_damage"
"Be strong my Philippines friends. This willbe just a while. #TyphoonHagupit","not_related_or_irrelevant"
"Relieved to see our donations reached the intended recipients. This is heartwarming but much work remains @taylor_sherine @limited_united","rescue_volunteering_or_donation_effort"
"A very important thread, which has security implications in the Southern states. The Kerala Flood is being used by vested interests, to peddle a negative narrative. May see, from top to bottom.","other_relevant_information"
"Weakening Odile pushes up Mexico's Baja California: About 30,000 tourists are in temporary shelters.           http://t.co/1kqa3tkGPn","displaced_people_and_evacuations"
"#CycloneIdai, which brought floodwater and destruction to areas of #Mozambique and #Malawi, hit #Zimbabwe on Friday, cutting off power and communications.","infrastructure_and_utility_damage"
"South Florida Collecting Donations To Help Hurricane-Battered Haiti - NBC 6 South Florida -","rescue_volunteering_or_donation_effort"
"Typhoon Hagupit: food aid distributions begin http://t.co/Ek5lLKgdz6","rescue_volunteering_or_donation_effort"
"@realDonaldTrump @ricardorossello FACTS: FEMA continues to coordinate support for Virgin Islands’ &amp; Puerto Rico’s response efforts (from 5 days ago)","rescue_volunteering_or_donation_effort"
"10 1 liter bottles of water in the east village","not_humanitarian"
"RT @sailpro99: thanks, @paypal for making @SavetheChildren a charity of choice for the #NepalQuakeRelief - every $ makes a difference in th…","rescue_volunteering_or_donation_effort"
"You can use any photo you want.and please visit our @WCKitchen main kitchens and Food trucks#ParadiseStrong #ButteStrong","not_humanitarian"
"RT @harrisk1111: Praying for the peoples in the path of these hurricanes . Stay safe friends ὤF","sympathy_and_support"
"Only those who have ever experienced it know. Thoughts &amp; prayers with the people from Bahamas.","sympathy_and_support"
"Everywhere else during a hurricane: lets get food and shelter! Mean while Florida: lets go to gamestop #brosbeingbros #selfieaddict #floridaweather #hurricanedorian #bestiesforlife @epiczleaderteo quesadillacosplay","not_humanitarian"
"@WrekinNews1 @Humanrights_age It seems as if Nepal still wants help but it doesn't want it from Taiwan.","not_related_or_irrelevant"
"RT @DDerrickeWINS: Candlelight Vigil for Nepal in Jackson Heights, Queens. Hear from the many mourners on #1010WINS http://t.co/tbvc7dqFCJ","sympathy_and_support"
"240,000 packets of water purifying powder are reaching 48,000 families.","other_relevant_information"
"Hurricane Harvey Damage Cost to Reach $160 Billion, More Than Sandy &amp; Katrina","infrastructure_and_utility_damage"
"The remains of five more people were found Saturday, including four in the decimated town of Paradise and one in nearby Concow, bringing the number of dead to 76.","injured_or_dead_people"
"we would like the department who is responsible for natural disaster to keep the people informed on what is going on. there are too many bad hanging over our heads","other_relevant_information"
"Massive and deadly #earthquake #Ecuador - UPDATE - https://t.co/0GDu7dwz5a -  https://t.co/TdgyzxqkiT","other_relevant_information"
"Typhoon roars in Philippines after mass evacuation #Glasgow - http://t.co/yOJdMQsrQQ","not_related_or_irrelevant"
"At the request of UNOCHA, SFMA is also acting on a temporary basis as the Regional Manager for the Mine Action Centre and is currently dealing with unexploded cluster bomblets in the Hirat area.","not_humanitarian"
"RT @alexkincaid22: SC governor lifts evacuation order for Beaufort, Jasper counties before Hurricane Florence","displaced_people_and_evacuations"
"Devastating: More than 1,000 people are feared dead in a devastating cyclone #idai that hit Mozambique on Friday as 1.6+ million children went on #climatestrike  Ὁ4","injured_or_dead_people"
"The strong earthquake of 5.8 magnitude has brought disasters to different parts of Azad Jammu and Kashmir (AJK) which claimed at least two lives and 100 left injured so far. #earthquake","injured_or_dead_people"
"In pictures: Deadly earthquake jolts Iran, Iraq-https://t.co/D05zqoEyAA https://t.co/FhUnOzM8Hg","unknown_or_unclassified"
"RT @ARYNEWSOFFICIAL: #Flood coming down to #Sindh after devastation in #Punjab - See more at: http://t.co/Sw5mLY0e2D http://t.co/wTePgENZwe","infrastructure_and_utility_damage"
"I can cook in large quantities to help those that need food cooked and dont have power.Be a cousler to help them file paper work for things that are lost link with churches and orginazations","infrastructure_and_utility_damage"
"Pair of Fire/Rescue Boats now on duty in #California https://t.co/Ifeaz5rogE https://t.co/vSqVIwkyw2","rescue_volunteering_or_donation_effort"
"Things Resettled Bhutanese #Refugees Should Know In U.S.A. https://t.co/xP4Tmgwrrr via @YouTube #Bhutan #Nepal #Memphis #WelcometoMemphis","not_related_or_irrelevant"
"A.T.S.C.T: we need aid at Tabarre 48 (bwablan). We don't have tents, we don't have food. Please help us, help us find some of the aid they sent for the country.","not_humanitarian"
"Floridians arent waiting for evacuation orders to get out.. #dorianhurricane #Dorianflorida #Dorian","displaced_people_and_evacuations"
"Out &amp; About Selling Homes” Today - Came across this Beauty .. And had to Share. #choosehappiness #livelifehappy #just_newjersey #realestate #njrealestate #nj #realestateforsale #onlyinnj","not_humanitarian"
"RT @nababaha: Cebu doppler image with normal range.   We will try to make the extended version visible in NOAH. #RubyPH http://t.co/v9oUBxM…","other_relevant_information"
"Nepal quake: M'sian shares near-death experience: FREE Sales executive Loy, 29, escaped seconds before the res... http://t.co/gQY9WvXJYG","not_related_or_irrelevant"
"HOUSTON WE GOTTA STICK TOGETHER #HarveyFlood #HurricaneHarvey","sympathy_and_support"
"World Vision staff stationed in Jabouri immediately reached the mudslide area to offer assistance.","other_relevant_information"
"Mexico City prosecutors open criminal probes into buildings damaged in the deadly earthquake https://t.co/Nnym5nAbSQ https://t.co/HgobOERlP5","infrastructure_and_utility_damage"
"Help with #donation for support to #EcuadorEarthquake #earthquake #TerremotoEcuador #terremoto #PrayForEcuador","rescue_volunteering_or_donation_effort"
"RT @drsanjaygupta: this baby was trapped under rubble for 22 hours, and survived. had to meet him. he is healthy and happy. #NepalQuake htt…","missing_trapped_or_found_people"
"thanks @sprint for making calls to #nepal free. #nepalQuake http://t.co/8qH0SfwMC9","not_related_or_irrelevant"
"BEYOND HEROES: Richard Harris, MD, @KelseySeybold keeping emergency operations staff &amp; first responders healthy during #Harvey operations.","rescue_volunteering_or_donation_effort"
"The American Red Cross continues to work around the clock to provide emergency support to people affected by #HurricaneFlorence.","rescue_volunteering_or_donation_effort"
"Quotation documentation for the geophysical survey required before drilling can start has been completed this week and will be distributed beginning of next.","not_humanitarian"
"i can't even imagine being in the middle of an 8.2 magnitude earthquake. #prayforchile","sympathy_and_support"
"Lt-Gen Nadeem, during a visit to Muzaffarabad a few weeks ago, has also said that ERRA was ensuring that ""all houses are seismically resistant and 11 reconstruction training centres will provide guidance to people.""","other_relevant_information"
"We attempted to consolidate this in the public opinion poll in 1997.","injured_or_dead_people"
"180 dead as floods wash away homes in Nepal, India http://t.co/7pvsFGvaOU via Yahoo!","injured_or_dead_people"
"Alarm (institution School) [Toronto] Manning Avenue b/w Lane 2 North College West Manning / Lane South Harbord West Manning Dispatched: 16/09/18 @ 20:41 EDT [Stn: 315] Aerial-315 DistChief-33 Pumper-315 Pumper-344 Pumper-426 Rescue-426 General Area:","not_humanitarian"
"Search the definition of the word and then gives me the answer please.","rescue_volunteering_or_donation_effort"
